Account,Username,Followers,Following,Intro
williamsamoei,Notifications,3300000,112,
romualdwadagni,Notifications,72000,4,
YMTuggar,Notifications,2600,8,
CellouUFDG,Notifications,946000,0,
abdoulaye.maizama,Notifications,,,
mohammed.abdullahi.562329,Notifications,12000,218,
selma.ashipalamusavyi.5,Notifications,,,
cheikh.diba.462733,Notifications,,,
lejone.mpotjoane.1,Notifications,38000,647,
okudzetoablakwa,Notifications,355000,27,
PresidentFelixTshisekedi,Notifications,419000,1,
PIAIsaiasAfewerki,Notifications,16000,4,
tahir.hamid.56,Notifications,23000,149,
NJOAgyemang,Notifications,191000,4,
nancytemboofficial,Notifications,27000,507,
MBawumia,Notifications,1100000,4,
officialsamiasuluhu,Notifications,100000,0,
galumse,Notifications,204000,1,
ProfMthuliNcube,Notifications,32000,1,
VPSierraLeone,Notifications,61000,2,
JDMahama,Notifications,1700000,4,
KagutaMuseveni,Notifications,1000000,0,
ilidio.vieirate,Notifications,14000,260,
veradaves.desousa.37,Notifications,,,
PatriceTalon.PR,Notifications,549000,0,
ABCummingsOFFCL,Notifications,105000,3,
EMasauni,Notifications,19000,2,
PAGEOFFICIELLEIOG,Notifications,216000,2,
GMahamatIdi,Notifications,859000,0,
AzizAkhannouch,Notifications,688000,2,
hakainde.hichilema,Notifications,2000000,108,
PMAbiyAhmedAli,Notifications,5400000,0,
SE.AndryRajoelina,Notifications,1200000,19,
xavierlucduval.official,Notifications,81000,14,
AdrienCharlesDuval,Notifications,45000,25,
SonkoOfficiel,Notifications,1300000,5,
judith.tuluka.suminwa,Notifications,,,
honjacobjusu.saffa,Notifications,,,
gareth.guadalupe,Notifications,,,
BihiEgeh,Notifications,7700,7,
TunduLissu,Notifications,41000,4,
HassanSheikhMahmud,Notifications,965000,4,
dumelangsaleshandoHE,Notifications,264000,47,
simplice0sarandji,Notifications,,,
presidentwavelramkalawan,Notifications,,,
Anitaannetamong,Notifications,33000,7,
claudelebosse.oke,Notifications,,,
maxandonirinafontaine,Notifications,,,
blaise.louembe,Notifications,20000,271,
MCTalata,Notifications,37000,2,
DrLazarusChakwera,Notifications,471000,5,
wynter.mmolotsi,Notifications,51000,131,
Mashatile,Notifications,23000,123,
HonAbbasTajudeenPhD,Notifications,57000,4,
ndaba.gaolathe,Notifications,,,
فازية دحلب - Fazia Dahlab,Notifications,,,
mike.mposha.5,Notifications,22000,380,
AlSisiofficial,Notifications,11000000,1,
PaulBiya.PageOfficielle,Notifications,1000000,3,
kashimshettima.org,Notifications,513000,167,
irprosper.bazombanza,Notifications,,,
VPSWAPOParty,Notifications,57000,53,
Mudavadi.Musalia,Notifications,906000,10,
mamadou.tangara.581,Notifications,4700,550,
StateHouseJ1,Notifications,237000,0,
Yayibonithomas,Notifications,456000,32,
olivier.nduhungirehe,Notifications,,,
JoelSenyonyi,Notifications,386000,11,
faustin.archange.touadera,Notifications,,,
akmdjibouti,Notifications,36000,8,
drdansa,Notifications,127000,129,
Maurice.kamto.officiel,Notifications,406000,5,
senior.headboy.3,Notifications,66000,21,
PresidentMaadaBio,Notifications,41000,2,
Cdethokodidiza65,Notifications,810,0,
Abdulhamidaldbaiba,Notifications,934000,15,
morissandak,Notifications,70000,191,
dsimoespereira.paigc,Notifications,48000,10,
ibrahim.tungteya,Notifications,12000,347,
succes.masra,Notifications,418000,1,
DumaBokoUDC,Notifications,967000,80,
pholile.dlamini.71,Notifications,12000,93,
HonNapwonJosephine,Notifications,12000,14,
KithureKindiki,Notifications,578000,6,
mamadidoumbouyaprg,Notifications,243000,1,
VPNamibia,Notifications,4300,37,
Dlkeorapetse,Notifications,147000,140,
mohamed.almenfi.2025,Notifications,7000,1300,
Sitemaysmouissi,Notifications,45000,26,
askbagbinofficial,Notifications,90000,10,
profile.php,Notifications,,,
djamidialloofficiel,Notifications,24000,3,
atoforson2020,Notifications,191000,5,
officialasiwajubat,Notifications,911000,2,
oliguinguema,Notifications,147000,13,
HamzaAbdiBarre,Notifications,263000,0,
AzaliAssoumaniOfficiel,Notifications,32000,17,
daher.ahmedfarah,Notifications,9400,202,
RailaOdingaKE,Notifications,2300000,16,
VicePresi.GMD,Notifications,9900,69,
tagesse.dullo,Notifications,31000,182,
mulambohaimbe,Notifications,47000,136,
dhoihir.dhoulkamal.18,Notifications,2300,82,
DrNavinchandraRamgoolam,Notifications,136000,30,
phenyo.butale,Notifications,23000,386,
elmaalignjaay,Notifications,312000,459,
A.Sabre.F,Notifications,55000,5,
AadanMadobe,Notifications,57000,1,
nitakrdeerpalsing,Notifications,22000,46,
PresidentPaulKagame,Notifications,1500000,0,
Siteny,Notifications,741000,445,
thando.mlambo.98622,Notifications,,,
pmucs,Notifications,68000,43,
presidentmomotoure,Notifications,113000,448,
gen.jejeodongo,Notifications,,,
situmbeko.musokotwane.997945,Notifications,,,
GeneralNeva,Notifications,98000,2,
Libyan.army.forces,Notifications,5200,,
PresidenceSenegal,Notifications,642000,5,
nalumangomutale,Notifications,411000,111,
JMNPresidente,Notifications,31000,105,
DrDionGeorge,Notifications,117,29,
AdalbertoCosta.J,Notifications,629000,27,
tjitunga.ngurare,Notifications,24000,310,
SpeakerMosesMasikaWetangula,Notifications,95000,1,
