Username,Verified,Bio,Date Joined,Following,Followers,Posts
Mlungis_Makhany,False,People´s United Democratic Movement President.A revolutionary for the emancipation of Swaziland from Tinkundla Royal Minority to a multi-party democracy,Joined July 2021,309,"2,109",103 posts
NamPresidency,True,Official Account - Presidency of the Republic of Namibia,,5,124.5K,"7,955 posts"
Succes_MASRA,False,"Candidat,Présidentielle 2024, Ancien PM Tchad Leader | Économiste Principal | |@harvard@SciencesPo…",Joined January 2010,186,118.6K,"1,596 posts"
DumsSaleshando,True,"Member of parliament for Maun North

President of Botswana Congress Party

Leader Of Opposition - 13th Parliament",Joined August 2020,89,11.4K,861 posts
SpeakerMutti,False,Speaker of the National Assembly of Zambia,Joined July 2023,1,336,7 posts
nancygtembo,False,,,,,"1,580 posts"
SuluhuSamia,True,Rais wa Jamhuri ya Muungano wa Tanzania. President of the United Republic of Tanzania,Joined June 2014,28,1.8M,"1,719 posts"
DansaKourouma1,True,Profil officiel du Président du Conseil National de la Transition (CNT) de Guinée.,,"1,415","7,816",573 posts
SuminwaJudith,True,Première Ministre de la République Démocratique du Congo,Joined February 2016,167,55K,256 posts
Dr_Arakwiye,True,Minister of Environment of the Republic of Rwanda,Joined May 2017,531,"1,947",586 posts
TagessechaffoD,True,"Speaker, House of Peoples Representatives,Federal Democratic Republic of Ethiopia. Husband & Dad.",Joined November 2018,140,"7,946",251 posts
DrDionGeorge,False,"Minister of Forestry, Fisheries and the Environment for the Republic of South Africa.",Joined December 2024,89,283,355 posts
HanafyGebaly,True,"الصفحة الرسمية للمستشار الدكتور/ حنفي جبالي
رئيس مجلس النواب المصري",,1,240,35 posts
HonWetangula,True,8th Speaker of the National Assembly of the Republic of Kenya.,Joined November 2011,54,1.2M,"5,173 posts"
LMpotjoane,False,Minister of Foreign Affairs and International Relations Founder and Chairman HDF Former Board Chairman IoD Lesotho Former Board Member AGCN,Joined February 2016,194,998,164 posts
mays_kinga,True,"Ministre de l'Environnement, de l'Écologie et du Climat",Joined April 2012,"1,189",25.7K,49.5K posts
LAZARUSCHAKWERA,True,President of the Republic of Malawi,,39,146.4K,"1,267 posts"
S_OkudzetoAblak,True,"Foreign Minister of Ghana|Member of Parliament, North Tongu| Pan-Africanist|Proud Ghanaian",Joined October 2012,248,387.7K,"5,709 posts"
PR_Paul_BIYA,True,Compte officiel du Président de la République / Official account of the President of the Republic . More at &,Joined May 2011,184,1M,"7,216 posts"
marechalmidi,True,"Maréchal Mahamat Idriss Deby Itno, Président de la République du Tchad, Chef de l'État.",Joined May 2021,10,108.4K,335 posts
SonkoOfficiel,True,Premier Ministre du Sénégal - Président de Pastef les Patriotes -,Joined March 2018,15,1M,"1,971 posts"
KassimMajaliwa_,True,Official account of the Prime Minister of the United Republic of Tanzania. Member of Parliament Ruangwa Constituency-Lindi,Joined April 2021,3,100.8K,85 posts
JLPRdeAngola,True,Presidente da República de Angola.,Joined January 2018,0,135.2K,156 posts
KindikiKithure,False,Deputy President of the Republic of Kenya,Joined May 2020,13,165.4K,"1,437 posts"
Djami_D,True,Lawyer and believer Ministre de l'Environnement et du Développement Durable de la République de Guinée,Joined September 2012,186,"1,070",114 posts
AnitahAmong,True,"Speaker of the Parliament of the Republic of Uganda.
Bukedea District Woman MP.",,367,556.4K,"3,940 posts"
LeaderMathibeli,False,DC Leader,,22,"2,229",144 posts
PholileShakantu,False,"Eswatini Foreign Minister. Fmr Justice Minister. Attorney, Conveyancer & Notary.",Joined August 2013,424,"1,589",270 posts
DeboraBarasa,True,"Cabinet Secretary for Environment,Climate Change & Forestry",Joined July 2012,220,"7,602","1,140 posts"
PatriceTalonPR,True,Président de la République du Bénin | |,Joined October 2016,8,74.8K,614 posts
KashimSM,False,"Vice President, Federal Republic of Nigeria | Former Senator, Borno Central District | Former Governor of Borno State",Joined June 2017,551,321.5K,"5,618 posts"
BCummingsOFFCL,False,,,,,
boughali_brahim,False,رئيس المجلس الشعبي الوطني,,229,45.7K,774 posts
AadanMadobe,True,"The official Twitter account of the Speaker of the House of the People, Federal Parliament of Somalia.",Joined April 2022,1,"4,524",276 posts
MostafaMadbou10,False,أنا رئيس وزراء مصر الحالي. تم تعييني من قبل الرئيس عبد الفتاح السيسي لخلافة شريف إسماعيل.World Wide Investor and Enterprise.,,812,"1,012",6 posts
AShingiro,True,"Former Minister of Foreign Affairs & Development Cooperation of the Republic of 2020-2025 & Former PR of Burundi to the UN, New York 2014-2020",Joined October 2014,"4,600",111.8K,25.2K posts
