display_name,username,verified,profile_image_url,tweet_text,datetime,tweet_url,image_urls,replies,retweets,likes,views,profile,climate_relevance_label,english_translation
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,"𝐂𝐚𝐦𝐩𝐚𝐧𝐡𝐚 𝐞𝐦 𝐩𝐫𝐨𝐥 𝐝𝐚 𝐥𝐢𝐛𝐞𝐫𝐭𝐚𝐜̧𝐚̃𝐨 𝐝𝐨 𝐃𝐫 𝐊𝐢𝐳𝐳𝐚 𝐁𝐞𝐬𝐢𝐠𝐲𝐞, 𝐩𝐫𝐞𝐬𝐨 𝐩𝐨𝐥𝐢́𝐭𝐢𝐜𝐨 𝐧𝐨 𝐔𝐠𝐚𝐧𝐝𝐚.

Recorded in Kampala, Uganda in February 2025, ‘Third Time Lucky’ is a call for Africa’s third liberation sung by Bobi Wine, mixed by Paddyman, and written by Robin Auld and Greg Mills.

The song was released to raise awareness of the rendition and trial by military tribunal of the Ugandan opposition icon, Dr Kizza Besigye. It includes appeals to ‘Free Kizza’ from democrats across the world, including Nobel laureate Oleksandra Matviichuk, former presidents Ellen Johnson Sirleaf, Andrés Pastrana, Martin Torrijos and Ian Khama, former Prime Minister Moeketsi Majoro, the Archbishop of Cape Town Thabo Makgoba, and ministers and opposition leaders from across Africa, Latin America, and Europe.

YouTube:  https:// youtube.com/watch?v=mJN-yB P1uGw … 

X:  https:// x.com/BrenthurstF/st atus/1894004858748878888 … 

Facebook:  https:// facebook.com/watch/?v=93134 5552135807 …  

LinkedIn:  https:// linkedin.com/feed/update/ur n:li:activity:7299771427862269952 …",2025-02-24T22:23:12.000Z,https://x.com/AdalbertoCostaJ/status/1894151116742381864,https://pbs.twimg.com/media/GklgZGnXwAAj2P2?format=jpg&name=900x900,0,2,10,505,https://twitter.com/AdalbertoCostaJ,unlikely,"Campaign for the liberation of Dr Kizza Besigye, political prisoner in Uganda.

Recorded in Kampala, Uganda in February 2025, ‘Third Time Lucky’ is a call for Africa’s third liberation sung by Bobi Wine, mixed by Paddyman, and written by Robin Auld and Greg Mills.

The song was released to raise awareness of the rendition and trial by military tribunal of the Ugandan opposition icon, Dr Kizza Besigye. It includes appeals to ‘Free Kizza’ from democrats across the world, including Nobel laureate Oleksandra Matviichuk, former presidents Ellen Johnson Sirleaf, Andrés Pastrana, Martin Torrijos and Ian Khama, former Prime Minister Moeketsi Majoro, the Archbishop of Cape Town Thabo Makgoba, and ministers and opposition leaders from across Africa, Latin America, and Europe.

YouTube: https:// youtube.com/watch?v=mJN-yB P1uGw … 

X: https:// x.com/BrenthurstF/st atus/1894004858748878888 … 

Facebook: https:// facebook.com/watch/?v=93134 5552135807 …  

LinkedIn: https:// linkedin.com/feed/update/ur n:li:activity:7299771427862269952 …"
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,"É hora de abandonar abordagens autoritárias e adoptar estratégias colaborativas, envolvendo os sectores públicos e privado, a sociedade civil e especialistas em economia. Somente com um diálogo construtivo e uma visão de longo prazo será possível superar a crise e construir uma Angola próspera e sustentável.",2025-02-28T08:09:27.000Z,https://x.com/AdalbertoCostaJ/status/1895385815879983445,,10,14,104,2941,https://twitter.com/AdalbertoCostaJ,unlikely,"It's time to abandon authoritarian approaches and adopt collaborative strategies, involving the public and private sectors, civil society, and economic experts. Only with constructive dialogue and a long-term vision will it be possible to overcome the crisis and build a prosperous and sustainable Angola."
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,"Quem realmente combate a corrupção não deveria temer a realização de inquéritos parlamentares sobre o BESA, a Sonangol, o Fundo Soberano e a Dívida Pública. Por que continuam engavetados?",2025-02-28T15:25:01.000Z,https://x.com/AdalbertoCostaJ/status/1895495429359648810,,9,8,105,2825,https://twitter.com/AdalbertoCostaJ,unlikely,"Those who truly fight corruption should not fear parliamentary inquiries into BESA, Sonangol, the Sovereign Fund, and Public Debt. Why are they still shelved?"
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,A CAMINHO  DO LESTE DO PAÍS| Ouvindo a voz do povo. Uma sempre renovada fonte de inspiração.,2025-03-01T10:42:42.000Z,https://x.com/AdalbertoCostaJ/status/1895786767414112369,,6,5,86,1706,https://twitter.com/AdalbertoCostaJ,unlikely,ON THE WAY TO THE EAST OF THE COUNTRY | Listening to the voice of the people. An always renewed source of inspiration.
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,"Nos próximos 10 dias, estarei a trabalhar na região leste de Angola. Terra de um povo rico culturalmente e rica também em diamantes, mas imensas violações dos direitos humanos e injustificada pobreza, fruto da má governação. Como pode uma zona tão produtiva continuar abandonada? Está na hora de dar voz ao leste e exigir investimentos que beneficiem as comunidades.",2025-03-01T11:06:47.000Z,https://x.com/AdalbertoCostaJ/status/1895792830653571264,,7,4,43,1480,https://twitter.com/AdalbertoCostaJ,unlikely,"For the next 10 days, I will be working in the eastern region of Angola. A land of a culturally rich people and also rich in diamonds, but immense human rights violations and unjustified poverty, a result of bad governance. How can such a productive area remain abandoned? It's time to give a voice to the east and demand investments that benefit the communities."
UNITA,UNITA_OFICIAL,True,https://pbs.twimg.com/profile_images/1517636322185420802/RT5lgZzB_bigger.jpg,"A caminho do Leste de Angola, a caravana do Presidente Adalberto Costa Júnior efectuou uma paragem na cidade de Malanje para uma breve saudação aos citadinos e militantes.",2025-03-01T11:59:58.000Z,https://x.com/UNITA_OFICIAL/status/1895806212249407742,"https://pbs.twimg.com/media/Gk9Bq6FbEAARsWe?format=jpg&name=900x900, https://pbs.twimg.com/media/Gk9Bq6dWEAAopOB?format=jpg&name=small, https://pbs.twimg.com/media/Gk9Bq6sWIAAl7FK?format=jpg&name=small",0,1,16,497,https://twitter.com/UNITA_OFICIAL,unlikely,"On the way to Eastern Angola, President Adalberto Costa Júnior's caravan made a stop in the city of Malanje for a brief greeting to the citizens and militants."
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,"Ontem iniciamos a nossa jornada de trabalho no leste do país, passando por Xá-Muteba e Cafunfo, na província da Lunda-Norte. Dormimos em Cafunfo, junto do povo, e dialogamos com diversos líderes da sociedade civil. Partilhamos ideias, mas, acima de tudo, ouvimos. Uma região de riqueza cultural e natural, mas onde, infelizmente, a dignidade do povo ainda é negada. Só unidos podemos transformar essa realidade.",2025-03-02T09:18:01.000Z,https://x.com/AdalbertoCostaJ/status/1896127846424141922,"https://pbs.twimg.com/media/GlBfCpAb0AER6hJ?format=jpg&name=small, https://pbs.twimg.com/media/GlBfCpZXUAADeiw?format=jpg&name=small, https://pbs.twimg.com/media/GlBfCpdXAAAmewr?format=jpg&name=small",5,8,115,1697,https://twitter.com/AdalbertoCostaJ,unlikely,"Yesterday we began our work journey in the east of the country, passing through Xá-Muteba and Cafunfo, in Lunda-Norte province. We slept in Cafunfo, with the people, and dialogued with various civil society leaders. We shared ideas, but, above all, we listened. A region of cultural and natural wealth, but where, unfortunately, the dignity of the people is still denied. Only united can we transform this reality."
UNITA,UNITA_OFICIAL,True,https://pbs.twimg.com/profile_images/1517636322185420802/RT5lgZzB_bigger.jpg,"O Presidente Adalberto Costa Júnior foi recebido com grande euforia no município de Xá-Muteba. Militantes, jovens e autoridades tradicionais expressaram seu apoio à sua liderança.",2025-03-02T09:26:38.000Z,https://x.com/UNITA_OFICIAL/status/1896130015315873933,https://pbs.twimg.com/amplify_video_thumb/1896127704317251584/img/n4-IX1fl5hY-mEQM.jpg,0,2,17,554,https://twitter.com/UNITA_OFICIAL,unlikely,"President Adalberto Costa Júnior was received with great euphoria in the municipality of Xá-Muteba. Activists, youth, and traditional authorities expressed their support for his leadership."
UNITA,UNITA_OFICIAL,True,https://pbs.twimg.com/profile_images/1517636322185420802/RT5lgZzB_bigger.jpg,"A Presidente Nacional da LIMA
(Liga da Mulher Angolana), Cesaltina Kulanda, saúda a Povoação de Kayeye. Mesmo em tempos marcados por crises profundas e uma gestão que falha com o nosso povo, a resiliência e a alegria dos angolanos inspiramnos a lutar por um futuro de justiça e renovação.",2025-03-03T11:18:26.000Z,https://x.com/UNITA_OFICIAL/status/1896520536496226357,,0,2,9,1438,https://twitter.com/UNITA_OFICIAL,unlikely,"The National President of LIMA (Angolan Women's League), Cesaltina Kulanda, greets the Village of Kayeye. Even in times marked by deep crises and a management that fails our people, the resilience and joy of Angolans inspire us to fight for a future of justice and renewal."
Adalberto Costa Júnior,AdalbertoCostaJ,True,https://pbs.twimg.com/profile_images/1483785504940249092/QgNfLSgN_bigger.jpg,"LUNDA-NORTE|| Ontem, domingo, 2 de março, despedimo-nos dos populares de Cafunfo e seguimos rumo à cidade do Dundo, onde, mesmo chegando às 23h, fomos acolhidos por uma multidão determinada a ouvir nossa mensagem de esperança. Em meio a uma gestão que tem deixado o povo desamparado, trabalhámos em Cuilo, Caungula e em localidades como a vila do Cuando, a povoação de Kayeye e Luzamba. Na Angola Profunda, a voz dos Angolanos ecoa: mesmo diante de crises e políticas equivocadas, o futuro é nosso para construir.",2025-03-03T11:30:48.000Z,https://x.com/AdalbertoCostaJ/status/1896523649303121998,"https://pbs.twimg.com/media/GlHOMd-aMAAzw-N?format=jpg&name=small, https://pbs.twimg.com/media/GlHOMegWcAAKhkF?format=jpg&name=small, https://pbs.twimg.com/media/GlHOMd-asAANfTs?format=jpg&name=small, https://pbs.twimg.com/media/GlHOMeAaMAEjZJ4?format=jpg&name=small",1,4,48,1208,https://twitter.com/AdalbertoCostaJ,unlikely,"LUNDA-NORTE|| Yesterday, Sunday, March 2, we bid farewell to the people of Cafunfo and headed towards the city of Dundo, where, even arriving at 11 PM, we were welcomed by a crowd determined to hear our message of hope. Amidst a management that has left the people helpless, we worked in Cuilo, Caungula, and in localities such as the town of Cuando, the village of Kayeye, and Luzamba. In Deep Angola, the voice of Angolans echoes: even in the face of crises and misguided policies, the future is ours to build."
